year,cod_ine,nom_mun,nom_prov,poblacion,ganador,ganador_por,color,ganador_bloque,ganador_por_bloque,color_bloque,partido_1,partido_2,partido_3,partido_4,partido_5,partido_6,partido_7,partido_8,partido_99
1988,08113,Manresa,Barcelona,51490,CiU,55.69,#1e4a8e,Nacionalismo/independentismo,61.51,#18a1cd,55.69,24.58,5.35,3.02,5.82,2.87,NA,NA,2.15
1988,08114,Martorell,Barcelona,12184,CiU,47.13,#1e4a8e,Nacionalismo/independentismo,52.07,#18a1cd,47.13,29.38,8.99,3.28,4.94,3.32,NA,NA,2.39
1988,08115,Martorelles,Barcelona,3304,CiU,45.4,#1e4a8e,No nacionalistas,52.01,#fa8c00,45.4,31.07,11.49,3.5,1.85,3.2,NA,NA,2.75
1988,08116,Les Masies de Roda,Barcelona,466,CiU,69.55,#1e4a8e,Nacionalismo/independentismo,83.28,#18a1cd,69.55,11.04,1.49,1.19,13.73,0.6,NA,NA,1.8
1988,08117,Les Masies de Voltregà,Barcelona,1879,CiU,70.83,#1e4a8e,Nacionalismo/independentismo,77.79,#18a1cd,70.83,12.96,1.82,4.03,6.96,0.95,NA,NA,1.83
1988,08118,El Masnou,Barcelona,11860,CiU,55.63,#1e4a8e,Nacionalismo/independentismo,60.43,#18a1cd,55.63,22.7,6.28,4.6,4.8,2.84,NA,NA,2.59
1988,08119,Masquefa,Barcelona,1850,CiU,54.02,#1e4a8e,Nacionalismo/independentismo,57.32,#18a1cd,54.02,28.15,4.73,4.99,3.3,1.52,NA,NA,2.94
1988,08120,Matadepera,Barcelona,2641,CiU,80.16,#1e4a8e,Nacionalismo/independentismo,84.75,#18a1cd,80.16,3.62,2.88,5.82,4.59,0.83,NA,NA,1.43
1988,08121,Mataró,Barcelona,73101,CiU,41.66,#1e4a8e,No nacionalistas,55.28,#fa8c00,41.66,37.6,6.49,5.07,2.64,3.11,NA,NA,3.01
1988,08122,Mediona,Barcelona,797,CiU,53.29,#1e4a8e,Nacionalismo/independentismo,57.02,#18a1cd,53.29,34.46,3.2,1.24,3.73,1.07,NA,NA,2.51
1988,08123,Molins de Rei,Barcelona,13773,CiU,46.6,#1e4a8e,Nacionalismo/independentismo,52.56,#18a1cd,46.6,29.18,10.11,2.7,5.96,2.77,NA,NA,2.08
1988,08124,Mollet del Vallès,Barcelona,26712,PSC,39.45,#da1f35,No nacionalistas,59.87,#fa8c00,37.24,39.45,10.53,3.99,2.3,3.26,NA,NA,2.64
1988,08125,Montcada i Reixac,Barcelona,19516,PSC,38.01,#da1f35,No nacionalistas,63.59,#fa8c00,33.14,38.01,14.77,3.58,2.63,4.09,NA,NA,3.14
1988,08126,Montgat,Barcelona,5384,CiU,41.53,#1e4a8e,No nacionalistas,54.43,#fa8c00,41.53,32.99,8.6,3.77,3.48,5.8,NA,NA,3.27
1988,08127,Monistrol de Montserrat,Barcelona,2057,CiU,53.59,#1e4a8e,Nacionalismo/independentismo,57.64,#18a1cd,53.59,24.45,3.7,10.23,4.05,2.13,NA,NA,1.49
1988,08128,Monistrol de Calders,Barcelona,495,CiU,77.07,#1e4a8e,Nacionalismo/independentismo,80.8,#18a1cd,77.07,10.4,2.67,1.6,3.73,1.33,NA,NA,2.67
1988,08129,Muntanyola,Barcelona,133,CiU,87.21,#1e4a8e,Nacionalismo/independentismo,93.02,#18a1cd,87.21,3.49,0,1.16,5.81,0,NA,NA,0
1988,08130,Montclar,Barcelona,134,CiU,82.14,#1e4a8e,Nacionalismo/independentismo,85.71,#18a1cd,82.14,1.19,4.76,8.33,3.57,0,NA,NA,0
1988,08131,Montesquiu,Barcelona,741,CiU,56.49,#1e4a8e,Nacionalismo/independentismo,75.87,#18a1cd,56.49,17.94,2.06,0.62,19.38,1.03,NA,NA,1.46
1988,08132,Montmajor,Barcelona,434,CiU,90.1,#1e4a8e,Nacionalismo/independentismo,92.66,#18a1cd,90.1,2.56,0.64,2.56,2.56,0.64,NA,NA,0.64
