year,cod_ine,nom_mun,nom_prov,poblacion,ganador,ganador_por,color,ganador_bloque,ganador_por_bloque,color_bloque,votos_partido_1,votos_partido_2,votos_partido_3,votos_partido_4,votos_partido_5,votos_partido_6,votos_partido_8,votos_partido_99,por_voto_partido_1,por_voto_partido_2,por_voto_partido_3,por_voto_partido_4,por_voto_partido_5,por_voto_partido_6,por_voto_partido_8,por_voto_partido_99
2021,25058,Les Borges Blanques,Lleida,4375,JxCat,36.88,#00c4b2,Nacionalismo/independentismo,81.19,#18a1cd,203,791,884,83,46,201,31,87,8.47,33,36.88,3.46,1.92,8.39,1.29,3.63
2021,25059,Bossòst,Lleida,822,PSC,37.56,#da1f35,No nacionalistas,76.47,#fa8c00,166,47,36,91,16,11,23,13,37.56,10.63,8.14,20.59,3.62,2.49,5.2,2.94
2021,25060,Cabanabona,Lleida,65,JxCat,30.56,#00c4b2,Nacionalismo/independentismo,80.56,#18a1cd,1,10,11,2,0,5,1,4,2.78,27.78,30.56,5.56,0,13.89,2.78,11.11
2021,25061,Cabó,Lleida,79,JxCat,39.13,#00c4b2,Nacionalismo/independentismo,73.91,#18a1cd,3,13,18,6,0,2,0,3,6.52,28.26,39.13,13.04,0,4.35,0,6.52
2021,25062,Camarasa,Lleida,691,ERC,37.26,#e5ab4b,Nacionalismo/independentismo,81.6,#18a1cd,26,158,137,17,11,40,8,15,6.13,37.26,32.31,4.01,2.59,9.43,1.89,3.55
2021,25063,Canejan,Lleida,76,Empate,28.12,#ADA9AC,No nacionalistas,53.11,#fa8c00,9,9,5,6,1,1,1,0,28.12,28.12,15.62,18.75,3.12,3.12,3.12,0
2021,25064,Castellar de la Ribera,Lleida,94,JxCat,39.73,#00c4b2,Nacionalismo/independentismo,90.42,#18a1cd,4,17,29,0,0,10,2,10,5.48,23.29,39.73,0,0,13.7,2.74,13.7
2021,25067,Castelldans,Lleida,683,JxCat,28.53,#00c4b2,Nacionalismo/independentismo,74.04,#18a1cd,31,97,111,15,17,38,16,43,7.97,24.94,28.53,3.86,4.37,9.77,4.11,11.06
2021,25068,Castellnou de Seana,Lleida,524,JxCat,37.67,#00c4b2,Nacionalismo/independentismo,84.57,#18a1cd,18,79,110,9,3,14,7,44,6.16,27.05,37.67,3.08,1.03,4.79,2.4,15.06
2021,25069,Castelló de Farfanya,Lleida,414,ERC,42.73,#e5ab4b,Nacionalismo/independentismo,88.1,#18a1cd,11,97,81,6,4,13,2,9,4.85,42.73,35.68,2.64,1.76,5.73,0.88,3.96
2021,25070,Castellserà,Lleida,784,JxCat,33.96,#00c4b2,Nacionalismo/independentismo,84.91,#18a1cd,31,147,162,6,6,64,6,32,6.5,30.82,33.96,1.26,1.26,13.42,1.26,6.71
2021,25071,Cava,Lleida,41,JxCat,41.94,#00c4b2,Nacionalismo/independentismo,87.1,#18a1cd,1,7,13,2,0,7,1,0,3.23,22.58,41.94,6.45,0,22.58,3.23,0
2021,25072,Cervera,Lleida,5960,JxCat,29.25,#00c4b2,Nacionalismo/independentismo,68.72,#18a1cd,426,823,911,188,110,263,87,177,13.68,26.43,29.25,6.04,3.53,8.45,2.79,5.68
