cod_mun,municipio,provincia,poblacion,partido_ganador,por_votos,siglas_partido,color,partido_mapa
03023,Beneixama,Alicante,1705,PARTIDO SOCIALISTA OBRERO ESPAÑOL,44.05,PSOE,#da1f35,PSOE
03024,Benejúzar,Alicante,5480,PARTIDO POPULAR,43.7,PP,#009ade,PP
03025,Benferri,Alicante,1955,PARTIDO SOCIALISTA OBRERO ESPAÑOL,59.48,PSOE,#da1f35,PSOE
03026,Beniarbeig,Alicante,2267,PARTIDO SOCIALISTA OBRERO ESPAÑOL,63.18,PSOE,#da1f35,PSOE
03027,Beniardá,Alicante,218,PARTIDO SOCIALISTA OBRERO ESPAÑOL,47.81,PSOE,#da1f35,PSOE
03028,Beniarrés,Alicante,1078,PARTIDO POPULAR,50.25,PP,#009ade,PP
03029,Benigembla,Alicante,512,PARTIDO SOCIALISTA OBRERO ESPAÑOL,73.91,PSOE,#da1f35,PSOE
03030,Benidoleig,Alicante,1232,PARTIDO SOCIALISTA OBRERO ESPAÑOL,47.39,PSOE,#da1f35,PSOE
03031,Benidorm,Alicante,69738,PARTIDO POPULAR,57.03,PP,#009ade,PP
03032,Benifallim,Alicante,106,PARTIDO POPULAR,53.93,PP,#009ade,PP
03033,Benifato,Alicante,139,PARTIDO POPULAR,71.26,PP,#009ade,PP
03034,Benijófar,Alicante,3427,PARTIDO POPULAR,76.86,PP,#009ade,PP
03035,Benilloba,Alicante,740,PARTIDO SOCIALISTA OBRERO ESPAÑOL,51.91,PSOE,#da1f35,PSOE
03036,Benillup,Alicante,108,PARTIDO POPULAR,64.29,PP,#009ade,PP
03037,Benimantell,Alicante,499,PARTIDO SOCIALISTA OBRERO ESPAÑOL,66.44,PSOE,#da1f35,PSOE
03038,Benimarfull,Alicante,410,PARTIDO POPULAR,52.26,PP,#009ade,PP
03039,Benimassot,Alicante,93,PARTIDO POPULAR,69.77,PP,#009ade,PP
03040,Benimeli,Alicante,419,UNITS PER BENIMELI,86.57,UPB,#838677,Otros
03041,Benissa,Alicante,11871,PARTIDO POPULAR,48.93,PP,#009ade,PP
03042,"Benitachell/Poble Nou de Benitatxell, el",Alicante,4687,MÉS BENITATXELL,57.33,MESB,#e07c2c,Compromís
03043,Biar,Alicante,3612,PARTIDO POPULAR,50.48,PP,#009ade,PP
03044,Bigastro,Alicante,7130,PARTIDO POPULAR,57.99,PP,#009ade,PP
03045,Bolulla,Alicante,413,PARTIDO POPULAR,62.71,PP,#009ade,PP
03046,Busot,Alicante,3343,PARTIDO POPULAR,72.24,PP,#009ade,PP
03047,Calp,Alicante,24096,PARTIDO POPULAR,31.16,PP,#009ade,PP
03048,Callosa d'en Sarrià,Alicante,7653,PARTIDO POPULAR,32.61,PP,#009ade,PP
03049,Callosa de Segura,Alicante,19315,PARTIDO POPULAR,34.97,PP,#009ade,PP
03050,El Campello,Alicante,29409,PARTIDO POPULAR,31.98,PP,#009ade,PP
03051,El Campo de Mirra/El Camp de Mirra,Alicante,433,PARTIDO POPULAR,68.69,PP,#009ade,PP
03052,Cañada,Alicante,1191,PARTIDO POPULAR,61.45,PP,#009ade,PP
03053,Castalla,Alicante,11097,PARTIDO POPULAR,43.44,PP,#009ade,PP
03054,Castell de Castells,Alicante,426,FEDERACIÓN DE PARTIDOS DE LA COMUNIDAD VALENCIANA,69.09,FEPAL,#7a7788,Otros
03055,Catral,Alicante,8976,PARTIDO POPULAR,63.48,PP,#009ade,PP
03056,Cocentaina,Alicante,11298,PARTIDO POPULAR,33.55,PP,#009ade,PP
03057,Confrides,Alicante,282,PARTIDO POPULAR,55.9,PP,#009ade,PP
