cod_ine,mun,pob,nombre_completo,partido_alcalde,partido_ganador,segundo,gobierna
28115,Pozuelo de Alarcón,87134,Susana Pérez Quislant,PP,PP,Cs,Lista más votada
28116,Pozuelo del Rey,1190,Rut Alcocer Diez,PP,UCIN,PP,Otro
28117,Prádena del Rincón,149,Alejandro Romero Fernandez,PP,PP,P.S.O.E.,Lista más votada
28118,Puebla de la Sierra,75,Aurelio Bravo Bernal,PP,PP,-,Lista más votada
28902,Puentes Viejas,719,Gabriel Ramirez Sanz,PP,PP,P.S.O.E.,Lista más votada
28119,Quijorna,3593,Juan Carlos Pérez Carrasco,PP,PP,GIQ,Lista más votada
28120,Rascafría,1754,Santiago Marcos Garcia,PP,AVRO,PP,Otro
28121,Redueña,294,Mª De Las Mercedes Pérez González,PP,PP,P.S.O.E.,Lista más votada
28122,Ribatejada,863,Carmen María González Escaso,PSOE,PSOE,PP,Lista más votada
28123,Rivas-Vaciamadrid,92925,Aída Castillejo Parrilla,IU Rivas-EQUO-Más Madrid,IU Rivas-EQUO-Más Madrid,P.S.O.E.,Lista más votada
28124,Robledillo de la Jara,97,Guillermo Crescente García Gómez Del Moral,PP,PP,Cs,Lista más votada
28125,Robledo de Chavela,4479,Fernando Casado Quijada,Cs,PP,Cs,Otro
28126,Robregordo,71,María Cano García,PSOE,PSOE,PP,Lista más votada
28127,"Rozas de Madrid, Las",94862,José De La Uz Pardos,PP,PP,Cs,Lista más votada
28128,Rozas de Puerto Real,590,Javier Vedia Abad,PP,PP,P.S.O.E.,Lista más votada
28129,San Agustín del Guadalix,13538,Roberto Carlos Ronda Villegas,PP,PP,Cs,Lista más votada
28130,San Fernando de Henares,39313,Francisco Javier Corpa Rubio,PSOE,PSOE,Cs,Lista más votada
28131,San Lorenzo de El Escorial,18454,Carlota López Esteban,PP,VxSLE,PP,Otro
28132,San Martín de la Vega,19853,Rafael Martínez Pérez,PSOE,PSOE,PP,Lista más votada
28133,San Martín de Valdeiglesias,8760,María Mercedes Zarzalejo Carbajo,PP,PSOE,PP,Otro
28134,San Sebastián de los Reyes,90962,Narciso Romero Morro,PSOE,PSOE,PP,Lista más votada
28135,Santa María de la Alameda,1436,Francisco Palomo Pozas,Cs,PP,P.S.O.E.,Otro
28136,Santorcaz,925,Rubén Gómez Buil,PSOE,PSOE,PP,Lista más votada
28137,"Santos de la Humosa, Los",2729,Lázaro Polo Gismero,ESPAÑA2000,PSOE,ESPAÑA2000,Otro
28138,"Serna del Monte, La",96,Francisco González Álvarez,PP,PP,P.S.O.E.,Lista más votada
28140,Serranillos del Valle,4429,Iván Fernández Heras,TDS,TDS,PP,Lista más votada
28141,Sevilla la Nueva,9345,Asensio Martínez Agraz,PP,PP,P.S.O.E.,Lista más votada
28143,Somosierra,87,Alejandro Trillo Sanz,PP,PSOE,PP,Otro
28144,Soto del Real,9091,Noelia Barrado Olivares,PSOE,PSOE,PP,Lista más votada
28145,Talamanca de Jarama,4123,Juan Manuel García Sacristán,PSOE,PSOE,PP,Lista más votada
28146,Tielmes,2781,Miguel Ángel Barbero Moreno,PP,PP,P.S.O.E.,Lista más votada
28147,Titulcia,1360,Francisca Suárez Roldán,PSOE,PSOE,PP,Lista más votada
