fecha,indicativo,fecha_maxima,temMax,nombre_clean,provincia_clean,latitud,longitud,record,nota,junio,mayo,abril,marzo,febrero,enero
2024-02-14,6293X,2021-02-05,22.2,Roquetas de Mar,Almería,36.68694444,-2.701666667,Mensual,NA,NA,NA,NA,NA,23.2,NA
2024-02-14,6325O,2007-02-16,25.2,Almería Aeropuerto,Almería,36.84638889,-2.356944444,Mensual,NA,NA,NA,NA,NA,27,NA
2024-01-26,0149X,2021-01-29,19.7,Manresa,Barcelona,41.72,1.840277778,Mensual,NA,NA,NA,NA,NA,NA,21.2
2024-01-26,0252D,2016-01-08,22.3,Arenys de Mar,Barcelona,41.5875,2.54,Mensual,NA,NA,NA,NA,NA,NA,22.8
2024-01-25,0324A,2003-01-27,20.9,Ripoll,Girona,42.19138889,2.196111111,Mensual,NA,NA,NA,NA,NA,NA,21
2024-01-25,0372C,2018-01-03,22.1,Porqueres,Girona,42.10444444,2.763611111,Mensual,NA,NA,NA,NA,NA,NA,25.2
2024-01-28,1002Y,2022-01-01,21.3,"Baztán, Irurita",Navarra,43.13583333,-1.543055556,Mensual,NA,NA,NA,NA,NA,NA,21.5
2024-01-28,1014,1999-01-06,24.6,"Hondarribia, Malkarroa",Gipuzkoa,43.35694444,-1.792222222,Mensual,NA,NA,NA,NA,NA,NA,25.2
2024-01-27,1037Y,2022-01-01,19.5,Zumarraga,Gipuzkoa,43.08,-2.3175,Mensual,NA,NA,NA,NA,NA,NA,19.8
2024-01-28,1050J,2022-01-01,22.7,Elgoibar,Gipuzkoa,43.20944444,-2.413333333,Mensual,NA,NA,NA,NA,NA,NA,22.8
2024-01-28,1059X,2020-01-31,21.4,Punta Galea,Bizkaia,43.375,-3.021666667,Mensual,NA,NA,NA,NA,NA,NA,22.6
2024-01-25,1221D,2020-01-01,16.1,Pajares-Valgrande,Asturias,42.97861111,-5.776388889,Mensual,NA,NA,NA,NA,NA,NA,17.6
2024-01-27,1387E,2022-01-01,22.3,A Coruña Aeropuerto,A Coruña,43.30694444,-8.371944444,Mensual,NA,NA,NA,NA,NA,NA,22.4
2024-01-25,1542,2022-01-29,14.8,Puerto de Leitariegos,Asturias,42.99416667,-6.414166667,Mensual,NA,NA,NA,NA,NA,NA,17.3
