indicativo,<b></b>,temMax,fecha_maxima,record,mes_falso,month,nombre_clean,provincia_clean,<span></span>,fecha,nota
8368U,22.9,21.4,2021-01-28,Mensual,12,Enero,Teruel,Teruel,12.135095549020381,2024-01-25,NA
8489X,24.3,22.4,2022-01-01,Mensual,12,Enero,Villafranca del Cid/Villafranca,Castellón,12.065580151609806,2024-01-25,NA
9001D,18.7,18.2,2008-01-06,Mensual,12,Enero,Reinosa,Cantabria,12.124034630723502,2024-01-25,NA
9019B,19.4,18.8,2016-01-24,Mensual,12,Enero,"Valderredible, Polientes",Cantabria,12.228127798482863,2024-01-25,NA
9051,21.5,20.2,2003-01-27,Mensual,12,Enero,Medina de Pomar,Burgos,12.058525998401299,2024-01-25,NA
9091R,19.8,19.8,2023-01-01,Mensual,12,Enero,Vitoria-Gasteiz Aeropuerto,Araba/Álava,11.7572876699086,2024-01-24,NA
9111,21.1,17.2,2023-01-01,Mensual,12,Enero,Belorado,Burgos,12.065723517545367,2024-01-25,NA
9170,22.3,19.3,2007-01-20,Mensual,12,Enero,"Logroño, Aeropuerto",La Rioja,11.914663181131687,2024-01-25,NA
9208E,21.8,19.7,2022-01-01,Mensual,12,Enero,Aragüés del Puerto,Huesca,11.798154222405302,2024-01-25,NA
9262,20,19.5,1982-01-07,Mensual,12,Enero,Pamplona,Navarra,11.876040570284777,2024-01-26,NA
9263D,19.5,18.8,2023-01-01,Mensual,12,Enero,"Pamplona, Aeropuerto",Navarra,11.771872201517137,2024-01-26,NA
9263X,18.1,17.7,2023-01-01,Mensual,12,Enero,"Aranguren, Ilundain",Navarra,11.922167099407755,2024-01-25,NA
9381I,21.3,21.2,2016-01-24,Mensual,12,Enero,Calamocha,Teruel,11.972816517944635,2024-01-25,NA
9563X,21.2,20.9,2007-01-20,Mensual,12,Enero,Castellfort,Castellón,12.298417453097294,2024-01-25,NA
9990X,20.4,18.1,2023-01-01,Mensual,12,Enero,"Naut Aran, Arties",Lleida,11.940320231993672,2024-01-28,NA
C139E,27.6,27,2008-01-20,Mensual,12,Enero,La Palma Aeropuerto,Sta. Cruz de Tenerife,11.916584866878347,2024-01-26,NA
C229J,26.8,26.7,2021-01-28,Mensual,12,Enero,Pájara,Las Palmas,12.029039718458174,2024-01-16,NA
C249I,29.9,28.5,2010-01-17,Mensual,12,Enero,Fuerteventura Aeropuerto,Las Palmas,11.969230195370697,2024-01-16,NA
C439J,27.2,26.4,2022-01-02,Mensual,12,Enero,Güímar,Sta. Cruz de Tenerife,11.969725607457535,2024-01-12,NA
C459Z,28.3,28.1,2007-01-12,Mensual,12,Enero,Puerto de La Cruz,Sta. Cruz de Tenerife,12.03387401380703,2024-01-28,NA
C649I,30.8,29.5,2010-01-18,Mensual,12,Enero,Gran Canaria Aeropuerto,Las Palmas,12,2024-01-16,Gran Canaria Aeropuerto 30.8ºC
C659H,29.1,28.5,2016-01-14,Mensual,12,Enero,"Las Palmas de Gran Canaria, San Cristóbal",Las Palmas,12.061539609258604,2024-01-16,NA
C659M,27.8,26.1,2021-01-07,Mensual,12,Enero,"Las Palmas de Gran Canaria, Pl. de la Feria",Las Palmas,11.89897879134748,2024-01-16,NA
C929I,28.7,28.5,2016-01-15,Mensual,12,Enero,El Hierro Aeropuerto,Sta. Cruz de Tenerife,11.938460390741396,2024-01-16,NA
