date,provincia,2024,Media 2009-2023,tipo,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,min,max
2024-03-05,España,8071,4892.066666666667,Hectáreas,0,1315,501,658,7847,0,321,226,0,467,437,19097,7291,13370,15930,5921,437,15930
2024-03-05,España,57,34.666666666666664,Incendios,0,3,1,8,25,0,3,2,0,6,7,162,63,54,119,67,1,119
2024-03-06,España,8071,4910.666666666667,Hectáreas,0,1315,501,658,7847,0,321,226,0,467,437,19376,7291,13370,15930,5921,437,15930
2024-03-06,España,57,34.86666666666667,Incendios,0,3,1,8,25,0,3,2,0,6,7,165,63,54,119,67,1,119
2024-03-07,España,8071,4919.733333333334,Hectáreas,0,1315,501,658,7847,0,321,226,0,467,437,19376,7291,13370,15930,6057,437,15930
2024-03-07,España,57,34.93333333333333,Incendios,0,3,1,8,25,0,3,2,0,6,7,165,63,54,119,68,1,119
2024-03-08,España,8071,4977.533333333334,Hectáreas,0,1315,501,658,8135,0,321,487,0,636,468,19376,7291,13370,15930,6175,468,15930
2024-03-08,España,57,35.4,Incendios,0,3,1,8,27,0,3,3,0,7,8,165,63,54,119,70,1,119
2024-03-09,España,8071,5347.6,Hectáreas,0,1315,501,658,12547,0,543,589,0,808,507,19376,7291,13370,15930,6779,507,15930
2024-03-09,España,57,36.333333333333336,Incendios,0,3,1,8,32,0,6,4,0,8,9,165,63,54,119,73,1,119
2024-03-10,España,8273,5576.733333333334,Hectáreas,0,1315,501,1004,12825,0,908,589,0,1160,698,19376,7291,13410,15930,8644,698,15930
2024-03-10,España,60,37.8,Incendios,0,3,1,9,34,0,7,4,0,9,11,165,63,55,119,87,1,119
2024-03-11,España,8273,5738.8,Hectáreas,0,1315,501,1084,13825,0,1062,633,0,1621,754,19376,7291,13480,15930,9210,754,15930
2024-03-11,España,60,39.2,Incendios,0,3,1,11,37,0,8,5,0,13,12,165,63,57,119,94,1,119
2024-03-12,España,8273,5847.466666666666,Hectáreas,0,1315,501,1084,14877,0,1062,633,0,1770,754,19376,7291,13480,15930,9639,754,15930
2024-03-12,España,60,39.86666666666667,Incendios,0,3,1,11,42,0,8,5,0,14,12,165,63,57,119,98,1,119
2024-03-13,España,8273,5872.8,Hectáreas,0,1413,501,1084,14877,0,1062,714,0,1770,754,19376,7291,13480,15930,9840,754,15930
2024-03-13,España,60,40.266666666666666,Incendios,0,4,1,11,42,0,8,6,0,14,12,165,63,57,119,102,1,119
2024-03-14,España,8273,5919,Hectáreas,0,1466,501,1084,15087,0,1140,714,0,1867,754,19376,7461,13480,15930,9925,754,15930
2024-03-14,España,60,40.8,Incendios,0,5,1,11,44,0,9,6,0,15,12,165,65,57,119,103,1,119
2024-03-15,España,8313,6037.533333333334,Hectáreas,0,1549,501,1084,15874,0,1140,714,0,2013,787,19376,7461,13480,15930,10654,787,15930
2024-03-15,España,61,41.53333333333333,Incendios,0,6,1,11,49,0,9,6,0,16,13,165,65,57,119,106,1,119
2024-03-16,España,8351,6145.266666666666,Hectáreas,0,1636,501,1084,16240,0,1488,797,0,2013,787,19840,7461,13538,15930,10864,787,15930
2024-03-16,España,62,42.46666666666667,Incendios,0,7,1,11,50,0,10,7,0,16,13,170,65,58,119,110,1,119
2024-03-17,España,8512,6309.666666666667,Hectáreas,0,1636,1352,1084,16240,0,1782,797,0,2013,787,19907,7461,13630,15930,12026,787,15930
2024-03-17,España,65,43.6,Incendios,0,7,4,11,50,0,12,7,0,16,13,171,65,59,119,120,4,119
2024-03-18,España,8573,6399.6,Hectáreas,0,2489,1352,1084,16293,0,1816,797,0,2307,787,19907,7492,13630,15930,12110,787,15930
2024-03-18,España,66,44.333333333333336,Incendios,0,12,4,11,51,0,13,7,0,18,13,171,66,59,119,121,4,119
2024-03-19,España,8573,6421,Hectáreas,0,2719,1352,1084,16293,0,1874,797,0,2307,787,19907,7492,13630,15930,12143,787,15930
2024-03-19,España,66,44.6,Incendios,0,14,4,11,51,0,14,7,0,18,13,171,66,59,119,122,4,119
2024-03-20,España,8573,6499.666666666667,Hectáreas,0,3277,1352,1150,16333,0,1910,797,0,2307,787,19943,7492,13811,15930,12406,787,15930
2024-03-20,España,66,45.733333333333334,Incendios,0,19,4,12,52,0,15,7,0,18,13,172,66,62,119,127,4,119
2024-03-21,España,8613,6578.933333333333,Hectáreas,0,3357,1352,1333,16333,0,1910,797,0,2307,843,19943,7554,13849,16165,12941,843,16165
2024-03-21,España,67,46.8,Incendios,0,20,4,14,52,0,15,7,0,18,14,172,67,63,121,135,4,121
2024-03-22,España,8653,6834.333333333333,Hectáreas,0,6769,1352,1513,16333,0,1910,797,0,2307,843,19991,7554,13849,16200,13097,843,16200
2024-03-22,España,68,47.93333333333333,Incendios,0,31,4,15,52,0,15,7,0,18,14,173,67,63,122,138,4,122
2024-03-23,España,8653,7337.4,Hectáreas,0,8692,1352,1610,16333,0,1968,797,0,2307,843,19991,7554,13906,16444,18264,843,16444
2024-03-23,España,68,49.4,Incendios,0,39,4,16,52,0,16,7,0,18,14,173,67,64,126,145,4,126
2024-03-24,España,8653,7494.333333333333,Hectáreas,0,9528,1352,1667,16848,0,1968,1179,0,2307,843,20222,7554,14067,16543,18337,843,16543
2024-03-24,España,68,50.8,Incendios,0,43,4,17,56,0,16,8,0,18,14,177,67,67,129,146,4,129
2024-03-25,España,8653,7952.666666666667,Hectáreas,0,10060,1352,1667,18137,299,6095,1179,0,2307,843,20254,7600,14101,16687,18709,843,16687
2024-03-25,España,68,52.46666666666667,Incendios,0,47,4,17,63,1,17,8,0,18,14,178,68,68,131,153,4,131
2024-03-26,España,8653,8131.866666666667,Hectáreas,0,10060,1352,1667,18602,299,6095,1179,0,2307,843,21802,7600,14167,16932,19073,843,16932
2024-03-26,España,68,53.666666666666664,Incendios,0,47,4,17,68,1,17,8,0,18,14,185,68,69,134,155,4,134
2024-03-27,España,8653,8608.066666666668,Hectáreas,0,10310,1352,1667,22245,299,6095,1179,0,2307,843,22499,7671,14347,17756,20551,843,17756
2024-03-27,España,68,56.666666666666664,Incendios,0,49,4,17,86,1,17,8,0,18,14,194,69,73,141,159,4,141
2024-03-28,España,8653,10026.933333333332,Hectáreas,0,10310,1352,1667,27739,299,6095,1179,0,2307,843,23238,7763,14868,18401,34343,843,18401
2024-03-28,España,68,60.733333333333334,Incendios,0,49,4,17,105,1,17,8,0,18,14,198,70,82,151,177,4,151
2024-03-29,España,8653,11022.6,Hectáreas,0,10310,1352,1667,28666,299,6095,1179,0,2470,843,23466,7863,15946,18401,46782,843,18401
2024-03-29,España,68,64.66666666666667,Incendios,0,49,4,17,113,1,17,8,0,19,14,201,72,91,151,213,4,151
2024-03-30,España,8653,11639.8,Hectáreas,0,10533,1352,1667,31393,299,6095,1179,0,2500,843,23585,7863,16558,18447,52283,843,18447
2024-03-30,España,68,67.86666666666666,Incendios,0,50,4,17,123,1,17,8,0,20,14,203,72,93,152,244,4,152
