nombre_clean,cod_ine,tipo_distintivo,tipo_area,num_dist22,prov,pob,por_dist22,tasa_dist22,edad_media,em_nacional,dif_edad_media
Abades,40001,DISTINTIVO B,Áreas no urbanas,12,Segovia,839,22.22,14.3,16,17.32,-1.32
Abades,40001,DISTINTIVO C,Áreas no urbanas,22,Segovia,839,40.74,26.22,8.5,8.5,-0
Abades,40001,ECO,Áreas no urbanas,0,Segovia,839,0,0,NA,4.19,NA
Abades,40001,SIN DISTINTIVO,Áreas no urbanas,20,Segovia,839,37.04,23.84,30.55,35,-4.45
Abadiño,48001,CERO,Áreas no urbanas,0,Bizkaia,7708,0,0,NA,3.63,NA
Abadiño,48001,DISTINTIVO B,Áreas no urbanas,54,Bizkaia,7708,11.25,7.01,17.43,17.32,0.11
Abadiño,48001,DISTINTIVO C,Áreas no urbanas,291,Bizkaia,7708,60.62,37.75,9.14,8.5,0.64
Abadiño,48001,ECO,Áreas no urbanas,0,Bizkaia,7708,0,0,NA,4.19,NA
Abadiño,48001,SIN DISTINTIVO,Áreas no urbanas,135,Bizkaia,7708,28.12,17.51,34.58,35,-0.42
Abadía,10001,DISTINTIVO B,Áreas no urbanas,5,Cáceres,340,18.52,14.71,17.4,17.32,0.08
Abadía,10001,DISTINTIVO C,Áreas no urbanas,9,Cáceres,340,33.33,26.47,11.33,8.5,2.83
Abadía,10001,ECO,Áreas no urbanas,0,Cáceres,340,0,0,NA,4.19,NA
Abadía,10001,SIN DISTINTIVO,Áreas no urbanas,13,Cáceres,340,48.15,38.24,30.15,35,-4.84
Abadín,27001,CERO,Áreas no urbanas,1,Lugo,2259,0.6,0.44,1,3.63,-2.63
Abadín,27001,DISTINTIVO B,Áreas no urbanas,19,Lugo,2259,11.38,8.41,17.47,17.32,0.15
Abadín,27001,DISTINTIVO C,Áreas no urbanas,41,Lugo,2259,24.55,18.15,10.2,8.5,1.69
Abadín,27001,ECO,Áreas no urbanas,0,Lugo,2259,0,0,NA,4.19,NA
Abadín,27001,SIN DISTINTIVO,Áreas no urbanas,106,Lugo,2259,63.47,46.92,42.55,35,7.55
Abajas,09001,DISTINTIVO B,Áreas no urbanas,1,Burgos,29,100,34.48,18,17.32,0.68
Abajas,09001,DISTINTIVO C,Áreas no urbanas,0,Burgos,29,0,0,NA,8.5,NA
Abajas,09001,SIN DISTINTIVO,Áreas no urbanas,0,Burgos,29,0,0,NA,35,NA
Abaltzisketa,20001,CERO,Áreas no urbanas,0,Gipuzkoa,309,0,0,NA,3.63,NA
