nombre_clean,cod_ine,tipo_distintivo,tipo_area,num_dist22,prov,pob,por_dist22,tasa_dist22,edad_media,em_nacional,dif_edad_media
Agulo,38002,SIN DISTINTIVO,Áreas no urbanas,162,S. C. Tenerife,1085,34.69,149.31,32.31,28.41,3.9
Agurain/Salvatierra,01051,CERO,Áreas no urbanas,8,Araba,5069,0.3,1.58,2.62,2.5,0.12
Agurain/Salvatierra,01051,DISTINTIVO B,Áreas no urbanas,911,Araba,5069,33.88,179.72,14.17,14.58,-0.41
Agurain/Salvatierra,01051,DISTINTIVO C,Áreas no urbanas,814,Araba,5069,30.27,160.58,6.79,7.17,-0.38
Agurain/Salvatierra,01051,ECO,Áreas no urbanas,39,Araba,5069,1.45,7.69,3.72,3.67,0.05
Agurain/Salvatierra,01051,SIN DISTINTIVO,Áreas no urbanas,917,Araba,5069,34.1,180.9,25.75,28.41,-2.66
Agón,50003,DISTINTIVO B,Áreas no urbanas,37,Zaragoza,139,37.37,266.19,15.41,14.58,0.82
Agón,50003,DISTINTIVO C,Áreas no urbanas,24,Zaragoza,139,24.24,172.66,5.79,7.17,-1.38
Agón,50003,ECO,Áreas no urbanas,3,Zaragoza,139,3.03,21.58,7,3.67,3.33
Agón,50003,SIN DISTINTIVO,Áreas no urbanas,35,Zaragoza,139,35.35,251.8,31.23,28.41,2.82
Agüero,22004,CERO,Áreas no urbanas,1,Huesca,145,1.14,6.9,2,2.5,-0.5
