nombre_clean,cod_ine,tipo_distintivo,tipo_area,num_dist22,prov,pob,tot22,por_dist22,tasa_dist22,edad_media,em_nacional,dif_edad_media
Abella de la Conca,25001,DISTINTIVO B,Áreas no urbanas,0,Lleida,167,12,0,0,NA,11.64,NA
Abella de la Conca,25001,DISTINTIVO C,Áreas no urbanas,0,Lleida,167,12,0,0,NA,4.09,NA
Abella de la Conca,25001,ECO,Áreas no urbanas,0,Lleida,167,12,0,0,NA,3.95,NA
Abella de la Conca,25001,SIN DISTINTIVO,Áreas no urbanas,12,Lleida,167,12,100,71.86,20.42,19.31,1.11
Abengibre,02001,CERO,Áreas no urbanas,0,Albacete,739,14,0,0,NA,4.01,NA
Abengibre,02001,DISTINTIVO B,Áreas no urbanas,0,Albacete,739,14,0,0,NA,11.64,NA
Abengibre,02001,DISTINTIVO C,Áreas no urbanas,0,Albacete,739,14,0,0,NA,4.09,NA
Abengibre,02001,ECO,Áreas no urbanas,0,Albacete,739,14,0,0,NA,3.95,NA
Abengibre,02001,SIN DISTINTIVO,Áreas no urbanas,14,Albacete,739,14,100,18.94,21.64,19.31,2.34
Abenójar,13001,DISTINTIVO B,Áreas no urbanas,0,Ciudad Real,1314,59,0,0,NA,11.64,NA
Abenójar,13001,DISTINTIVO C,Áreas no urbanas,0,Ciudad Real,1314,59,0,0,NA,4.09,NA
Abenójar,13001,ECO,Áreas no urbanas,0,Ciudad Real,1314,59,0,0,NA,3.95,NA
Abenójar,13001,SIN DISTINTIVO,Áreas no urbanas,59,Ciudad Real,1314,59,100,44.9,18.25,19.31,-1.05
Aberin,31005,DISTINTIVO B,Áreas no urbanas,3,Navarra,371,19,15.79,8.09,17,11.64,5.36
Aberin,31005,DISTINTIVO C,Áreas no urbanas,0,Navarra,371,19,0,0,NA,4.09,NA
Aberin,31005,ECO,Áreas no urbanas,0,Navarra,371,19,0,0,NA,3.95,NA
Aberin,31005,SIN DISTINTIVO,Áreas no urbanas,16,Navarra,371,19,84.21,43.13,19.25,19.31,-0.06
Abertura,10002,DISTINTIVO B,Áreas no urbanas,0,Cáceres,388,7,0,0,NA,11.64,NA
Abertura,10002,DISTINTIVO C,Áreas no urbanas,0,Cáceres,388,7,0,0,NA,4.09,NA
Abertura,10002,ECO,Áreas no urbanas,0,Cáceres,388,7,0,0,NA,3.95,NA
Abertura,10002,SIN DISTINTIVO,Áreas no urbanas,7,Cáceres,388,7,100,18.04,13.86,19.31,-5.45
Abezames,49002,DISTINTIVO B,Áreas no urbanas,0,Zamora,65,0,NA,0,NA,11.64,NA
Abezames,49002,DISTINTIVO C,Áreas no urbanas,0,Zamora,65,0,NA,0,NA,4.09,NA
Abezames,49002,SIN DISTINTIVO,Áreas no urbanas,0,Zamora,65,0,NA,0,NA,19.31,NA
Abia de la Obispalía,16001,DISTINTIVO B,Áreas no urbanas,0,Cuenca,60,2,0,0,NA,11.64,NA
