recuento,fecuencia_supera,tipo,temp,date,indicativo,inicio_serie
535,33.8,Minimas,1.7,01-01,5530E,1972-07-01
896,54,Máximas,15.6,01-01,B954,1944-01-01
1319,79.6,Minimas,5.4,01-01,B954,1944-01-01
605,24.7,Máximas,11,01-01,2867,1945-01-01
1996,81.6,Minimas,-4.4,01-01,2867,1945-01-01
901,36.4,Máximas,9,01-01,2030,1943-11-01
557,22.5,Minimas,1.1,01-01,2030,1943-11-01
789,30.1,Máximas,18.4,01-01,8025,1938-09-01
622,23.7,Minimas,8.5,01-01,8025,1938-09-01
273,67.7,Máximas,16.1,01-01,7031X,2011-01-01
174,43.3,Minimas,6.5,01-01,7031X,2011-01-01
90,18.3,Máximas,16.5,01-01,1207U,1979-01-01
84,17.1,Minimas,7.4,01-01,1207U,1979-01-01
150,19.3,Máximas,15.1,01-01,1050J,1997-04-01
303,39,Minimas,5.6,01-01,1050J,1997-04-01
172,22.4,Máximas,13.8,01-01,1393,1994-01-01
77,10,Minimas,11.6,01-01,1393,1994-01-01
172,21.7,Máximas,18.6,01-01,7145D,1997-02-19
150,19.2,Minimas,6.2,01-01,7145D,1997-02-19
206,26.3,Máximas,13.2,01-01,9294E,1993-07-24
409,52.2,Minimas,2.2,01-01,9294E,1993-07-24
336,26.4,Máximas,10.6,01-01,2444,1983-01-01
453,35.6,Minimas,0.2,01-01,2444,1983-01-01
535,32.6,Máximas,12.5,01-01,4121,1970-11-01
573,34.9,Minimas,2.8,01-01,4121,1970-11-01
971,53.5,Máximas,3.6,01-01,9585,1927-04-01
814,44.9,Minimas,-3.4,01-01,9585,1927-04-01
1188,58.1,Máximas,10.1,01-01,3129,1945-01-01
601,29.4,Minimas,3,01-01,3129,1945-01-01
538,20.2,Máximas,19,01-01,8416,1937-11-01
508,19.1,Minimas,9.8,01-01,8416,1937-11-01
26,4.3,Máximas,20.3,01-01,5000C,2003-06-01
21,3.5,Minimas,14.6,01-01,5000C,2003-06-01
193,35.2,Máximas,15,01-01,5582A,2001-01-01
150,27.4,Minimas,4.4,01-01,5582A,2001-01-01
687,59.9,Máximas,10.1,01-01,1505,1951-01-01
290,25.3,Minimas,5.3,01-01,1505,1951-01-01
470,26.6,Máximas,18.4,01-01,8019,1967-01-01
244,13.8,Minimas,9.8,01-01,8019,1967-01-01
791,35,Máximas,10.3,01-01,1549,1951-01-01
1028,45.5,Minimas,1.7,01-01,1549,1951-01-01
720,36.9,Máximas,10.7,01-01,8096,1951-01-01
957,49.1,Minimas,-0.4,01-01,8096,1951-01-01
870,38.5,Máximas,16.8,01-01,5783,1951-01-01
750,33.2,Minimas,7.4,01-01,5783,1951-01-01
130,4.2,Máximas,13.8,01-01,C430E,1920-01-01
74,2.4,Minimas,7.1,01-01,C430E,1920-01-01
130,49.1,Máximas,11.7,01-01,4061X,2006-10-31
90,34,Minimas,2.3,01-01,4061X,2006-10-31
345,60.7,Máximas,3.7,01-01,1542,1997-03-01
406,71.5,Minimas,-3.3,01-01,1542,1997-03-01
813,64,Máximas,11.5,01-01,3469A,1982-12-01
624,49.1,Minimas,3.6,01-01,3469A,1982-12-01
20,6.6,Máximas,22.7,01-01,C659M,2013-09-21
53,17.4,Minimas,17.5,01-01,C659M,2013-09-21
31,10,Máximas,22.6,01-02,C439J,2014-01-01
149,48.2,Minimas,13.8,01-02,C439J,2014-01-01
8,1.9,Máximas,21,01-02,5612B,2009-02-13
195,46.8,Minimas,3.5,01-02,5612B,2009-02-13
161,39.8,Máximas,11.7,01-02,3094B,2009-08-01
161,39.8,Minimas,2.1,01-02,3094B,2009-08-01
300,39.8,Máximas,12.2,01-02,9394X,1993-04-01
305,40.5,Minimas,1.9,01-02,9394X,1993-04-01
237,25.5,Máximas,17.4,01-02,B434X,1993-01-01
