cod_ine,cod_region_iso,nom_region_iso,indicativo,nom_mun,prov_isla,tmed,tmax,calor,anomalia_tmax,tmin,frio,anomalia_tmin,fecha,hora,nombre_clean
37011,673701,Meseta de Salamanca,2946X,"Alberguería de Argañán, La",Salamanca,7.8,13,hace calor,"+1,1",2.6,el frío es normal,"+0,2",2024-03-05,20:30:00,Saelices El Chico
37012,673701,Meseta de Salamanca,2867,Alconada,Salamanca,5.85,11.1,no hace calor,"-1,4",0.6,hace frío,"-1,6",2024-03-05,20:30:00,Salamanca Aeropuerto
37013,673703,Sur de Salamanca,2491C,Aldeacipreste,Salamanca,-1.7,1.1,no hace calor,"-2,7",-4.5,hace frío,"-1,8",2024-03-05,20:30:00,"La Covatilla, Estación de Esquí"
37014,673701,Meseta de Salamanca,2916A,Aldeadávila de la Ribera,Salamanca,7.85,12.7,hace calor,"+0,7",3,el frío es normal,"+0,3",2024-03-05,20:30:00,Vitigudino
37015,673701,Meseta de Salamanca,2946X,Aldea del Obispo,Salamanca,7.8,13,hace calor,"+1,1",2.6,el frío es normal,"+0,2",2024-03-05,20:30:00,Saelices El Chico
37016,673701,Meseta de Salamanca,2867,Aldealengua,Salamanca,5.85,11.1,no hace calor,"-1,4",0.6,hace frío,"-1,6",2024-03-05,20:30:00,Salamanca Aeropuerto
37017,673701,Meseta de Salamanca,2867,Aldeanueva de Figueroa,Salamanca,5.85,11.1,no hace calor,"-1,4",0.6,hace frío,"-1,6",2024-03-05,20:30:00,Salamanca Aeropuerto
37018,673702,Sistema Central de Salamanca,2491C,Aldeanueva de la Sierra,Salamanca,-1.7,1.1,no hace calor,"-2,7",-4.5,hace frío,"-1,8",2024-03-05,20:30:00,"La Covatilla, Estación de Esquí"
37019,673701,Meseta de Salamanca,2870,Aldearrodrigo,Salamanca,8,12.2,no hace calor,"-0,7",3.8,más cálida de lo normal,"+0,4",2024-03-05,20:30:00,Salamanca
37020,673701,Meseta de Salamanca,2867,Aldearrubia,Salamanca,5.85,11.1,no hace calor,"-1,4",0.6,hace frío,"-1,6",2024-03-05,20:30:00,Salamanca Aeropuerto
37021,673701,Meseta de Salamanca,2867,Aldeaseca de Alba,Salamanca,5.85,11.1,no hace calor,"-1,4",0.6,hace frío,"-1,6",2024-03-05,20:30:00,Salamanca Aeropuerto
37022,673701,Meseta de Salamanca,2867,Aldeaseca de la Frontera,Salamanca,5.85,11.1,no hace calor,"-1,4",0.6,hace frío,"-1,6",2024-03-05,20:30:00,Salamanca Aeropuerto
37023,673701,Meseta de Salamanca,2870,Aldeatejada,Salamanca,8,12.2,no hace calor,"-0,7",3.8,más cálida de lo normal,"+0,4",2024-03-05,20:30:00,Salamanca
37024,673701,Meseta de Salamanca,2870,Aldeavieja de Tormes,Salamanca,8,12.2,no hace calor,"-0,7",3.8,más cálida de lo normal,"+0,4",2024-03-05,20:30:00,Salamanca
37025,673701,Meseta de Salamanca,2870,Aldehuela de la Bóveda,Salamanca,8,12.2,no hace calor,"-0,7",3.8,más cálida de lo normal,"+0,4",2024-03-05,20:30:00,Salamanca
37026,673701,Meseta de Salamanca,2946X,Aldehuela de Yeltes,Salamanca,7.8,13,hace calor,"+1,1",2.6,el frío es normal,"+0,2",2024-03-05,20:30:00,Saelices El Chico
37027,673701,Meseta de Salamanca,2870,Almenara de Tormes,Salamanca,8,12.2,no hace calor,"-0,7",3.8,más cálida de lo normal,"+0,4",2024-03-05,20:30:00,Salamanca
