fecha,indicativo,nombre_completo,provincia_clean,tmin,tmin_median,anomalia,anomalia_positiva,anomalia_negativa,texto_anomalia,texto_fecha,tipo_anomalia,color_anomalia
2024-03-08,3191E,Colmenar Viejo (Madrid),Madrid,0.5,4,-3.5,4,0.5,"-3,5", 8 mar.,▼,#2171b5
2024-03-08,3100B,Aranjuez (Madrid),Madrid,4.6,3.4,1.2,4.6,3.4,"+1,2", 8 mar.,▲,#cb181d
2024-03-08,3266A,Puerto Alto del León (Madrid),Madrid,-3,-0.3,-2.7,-0.3,-3,"-2,7", 8 mar.,▼,#2171b5
2024-03-08,3110C,Buitrago del Lozoya (Madrid),Madrid,0.5,0.9,-0.4,0.9,0.5,"-0,4", 8 mar.,▼,#2171b5
2024-03-08,3194U,"Madrid, Ciudad Universitaria (Madrid)",Madrid,NA,3.3,NA,NA,NA,NA, 8 mar.,NA,NA
2024-03-08,3129,Madrid Aeropuerto (Madrid),Madrid,4.1,3.2,0.9,4.1,3.2,"+0,9", 8 mar.,▲,#cb181d
2024-03-09,2462,Puerto de Navacerrada (Madrid),Madrid,-4.8,-0.4,-4.4,-0.4,-4.8,"-4,4", 9 mar.,▼,#2171b5
2024-03-09,3111D,Somosierra (Madrid),Madrid,-1.9,0.1,-2,0.1,-1.9,-2, 9 mar.,▼,#2171b5
2024-03-09,3195,"Madrid, Retiro (Madrid)",Madrid,4.4,6.4,-2,6.4,4.4,-2, 9 mar.,▼,#2171b5
2024-03-09,3191E,Colmenar Viejo (Madrid),Madrid,1.4,4.1,-2.7,4.1,1.4,"-2,7", 9 mar.,▼,#2171b5
2024-03-09,3100B,Aranjuez (Madrid),Madrid,3.9,3,0.9,3.9,3,"+0,9", 9 mar.,▲,#cb181d
2024-03-09,3266A,Puerto Alto del León (Madrid),Madrid,-2.8,0.3,-3.1,0.3,-2.8,"-3,1", 9 mar.,▼,#2171b5
2024-03-09,3110C,Buitrago del Lozoya (Madrid),Madrid,1.3,0.1,1.2,1.3,0.1,"+1,2", 9 mar.,▲,#cb181d
2024-03-09,3194U,"Madrid, Ciudad Universitaria (Madrid)",Madrid,NA,3.8,NA,NA,NA,NA, 9 mar.,NA,NA
2024-03-09,3129,Madrid Aeropuerto (Madrid),Madrid,4.4,2,2.4,4.4,2,"+2,4", 9 mar.,▲,#cb181d
2024-03-10,2462,Puerto de Navacerrada (Madrid),Madrid,-3.7,0.2,-3.9,0.2,-3.7,"-3,9",10 mar.,▼,#2171b5
2024-03-10,3111D,Somosierra (Madrid),Madrid,-1.9,1.2,-3.1,1.2,-1.9,"-3,1",10 mar.,▼,#2171b5
2024-03-10,3195,"Madrid, Retiro (Madrid)",Madrid,4.6,6.6,-2,6.6,4.6,-2,10 mar.,▼,#2171b5
2024-03-10,3191E,Colmenar Viejo (Madrid),Madrid,1.1,4.5,-3.4,4.5,1.1,"-3,4",10 mar.,▼,#2171b5
2024-03-10,3100B,Aranjuez (Madrid),Madrid,5.6,1.7,3.9,5.6,1.7,"+3,9",10 mar.,▲,#cb181d
2024-03-10,3266A,Puerto Alto del León (Madrid),Madrid,-2.3,1.5,-3.8,1.5,-2.3,"-3,8",10 mar.,▼,#2171b5
2024-03-10,3110C,Buitrago del Lozoya (Madrid),Madrid,1.4,0,1.4,1.4,0,"+1,4",10 mar.,▲,#cb181d
2024-03-10,3194U,"Madrid, Ciudad Universitaria (Madrid)",Madrid,NA,3.4,NA,NA,NA,NA,10 mar.,NA,NA
2024-03-10,3129,Madrid Aeropuerto (Madrid),Madrid,4.7,2.6,2.1,4.7,2.6,"+2,1",10 mar.,▲,#cb181d
2024-03-11,2462,Puerto de Navacerrada (Madrid),Madrid,-3,0.4,-3.4,0.4,-3,"-3,4",11 mar.,▼,#2171b5
2024-03-11,3111D,Somosierra (Madrid),Madrid,-0.7,0.8,-1.5,0.8,-0.7,"-1,5",11 mar.,▼,#2171b5
2024-03-11,3195,"Madrid, Retiro (Madrid)",Madrid,6.1,7.4,-1.3,7.4,6.1,"-1,3",11 mar.,▼,#2171b5
2024-03-11,3191E,Colmenar Viejo (Madrid),Madrid,3.2,5.5,-2.3,5.5,3.2,"-2,3",11 mar.,▼,#2171b5
2024-03-11,3100B,Aranjuez (Madrid),Madrid,2.5,5.1,-2.6,5.1,2.5,"-2,6",11 mar.,▼,#2171b5
2024-03-11,3266A,Puerto Alto del León (Madrid),Madrid,-1.5,1.4,-2.9,1.4,-1.5,"-2,9",11 mar.,▼,#2171b5
2024-03-11,3110C,Buitrago del Lozoya (Madrid),Madrid,4.1,1.5,2.6,4.1,1.5,"+2,6",11 mar.,▲,#cb181d
2024-03-11,3194U,"Madrid, Ciudad Universitaria (Madrid)",Madrid,NA,4.4,NA,NA,NA,NA,11 mar.,NA,NA
2024-03-11,3129,Madrid Aeropuerto (Madrid),Madrid,4.4,4.2,0.2,4.4,4.2,"+0,2",11 mar.,▲,#cb181d
2024-03-12,2462,Puerto de Navacerrada (Madrid),Madrid,-1.6,-0.6,-1,-0.6,-1.6,-1,12 mar.,▼,#2171b5
2024-03-12,3111D,Somosierra (Madrid),Madrid,-0.6,2,-2.6,2,-0.6,"-2,6",12 mar.,▼,#2171b5
