fecha,indicativo,nombre_completo,provincia_clean,tmax,tmax_median,anomalia,anomalia_positiva,anomalia_negativa,texto_anomalia,texto_fecha,tipo_anomalia,color_anomalia
2024-03-12,C659H,"Las Palmas de Gran Canaria, San Cristobal (Las Palmas)",Las Palmas,23.6,20.8,2.8,23.6,20.8,"+2,8",12 mar.,▲,#cb181d
2024-03-12,C689E,Maspalomas (Las Palmas),Las Palmas,NA,22.4,NA,NA,NA,NA,12 mar.,NA,NA
2024-03-12,C649I,Gran Canaria Aeropuerto (Las Palmas),Las Palmas,21.4,22,-0.6,22,21.4,"-0,6",12 mar.,▼,#2171b5
2024-03-13,C249I,Fuerteventura Aeropuerto (Las Palmas),Las Palmas,26.3,21.5,4.8,26.3,21.5,"+4,8",13 mar.,▲,#cb181d
2024-03-13,C029O,Lanzarote Aeropuerto (Las Palmas),Las Palmas,26,22.7,3.3,26,22.7,"+3,3",13 mar.,▲,#cb181d
2024-03-13,C659M,"Las Palmas de Gran Canaria, Pl. de la Feria (Las Palmas)",Las Palmas,23.6,21,2.6,23.6,21,"+2,6",13 mar.,▲,#cb181d
2024-03-13,C629X,"Mogán, Puerto (Las Palmas)",Las Palmas,22.2,22.8,-0.6,22.8,22.2,"-0,6",13 mar.,▼,#2171b5
2024-03-13,C229J,Pájara (Las Palmas),Las Palmas,24.3,22.8,1.5,24.3,22.8,"+1,5",13 mar.,▲,#cb181d
2024-03-13,C659H,"Las Palmas de Gran Canaria, San Cristobal (Las Palmas)",Las Palmas,26.2,20.4,5.8,26.2,20.4,"+5,8",13 mar.,▲,#cb181d
2024-03-13,C689E,Maspalomas (Las Palmas),Las Palmas,NA,22.1,NA,NA,NA,NA,13 mar.,NA,NA
2024-03-13,C649I,Gran Canaria Aeropuerto (Las Palmas),Las Palmas,NA,21.6,NA,NA,NA,NA,13 mar.,NA,NA
2024-03-14,C249I,Fuerteventura Aeropuerto (Las Palmas),Las Palmas,21.7,21,0.7,21.7,21,"+0,7",14 mar.,▲,#cb181d
2024-03-14,C029O,Lanzarote Aeropuerto (Las Palmas),Las Palmas,23.3,21.8,1.5,23.3,21.8,"+1,5",14 mar.,▲,#cb181d
2024-03-14,C659M,"Las Palmas de Gran Canaria, Pl. de la Feria (Las Palmas)",Las Palmas,22.4,20.1,2.3,22.4,20.1,"+2,3",14 mar.,▲,#cb181d
2024-03-14,C629X,"Mogán, Puerto (Las Palmas)",Las Palmas,24.1,22.4,1.7,24.1,22.4,"+1,7",14 mar.,▲,#cb181d
2024-03-14,C229J,Pájara (Las Palmas),Las Palmas,22.5,22.1,0.4,22.5,22.1,"+0,4",14 mar.,▲,#cb181d
2024-03-14,C659H,"Las Palmas de Gran Canaria, San Cristobal (Las Palmas)",Las Palmas,22.7,20.6,2.1,22.7,20.6,"+2,1",14 mar.,▲,#cb181d
2024-03-14,C689E,Maspalomas (Las Palmas),Las Palmas,NA,21.4,NA,NA,NA,NA,14 mar.,NA,NA
2024-03-14,C649I,Gran Canaria Aeropuerto (Las Palmas),Las Palmas,23.4,21.5,1.9,23.4,21.5,"+1,9",14 mar.,▲,#cb181d
2024-03-15,C249I,Fuerteventura Aeropuerto (Las Palmas),Las Palmas,21.8,21.5,0.3,21.8,21.5,"+0,3",15 mar.,▲,#cb181d
2024-03-15,C029O,Lanzarote Aeropuerto (Las Palmas),Las Palmas,24.2,22.4,1.8,24.2,22.4,"+1,8",15 mar.,▲,#cb181d
2024-03-15,C659M,"Las Palmas de Gran Canaria, Pl. de la Feria (Las Palmas)",Las Palmas,21.9,20.7,1.2,21.9,20.7,"+1,2",15 mar.,▲,#cb181d
2024-03-15,C629X,"Mogán, Puerto (Las Palmas)",Las Palmas,22.7,22.9,-0.2,22.9,22.7,"-0,2",15 mar.,▼,#2171b5
2024-03-15,C229J,Pájara (Las Palmas),Las Palmas,21.1,22.6,-1.5,22.6,21.1,"-1,5",15 mar.,▼,#2171b5
2024-03-15,C659H,"Las Palmas de Gran Canaria, San Cristobal (Las Palmas)",Las Palmas,23.7,21,2.7,23.7,21,"+2,7",15 mar.,▲,#cb181d
2024-03-15,C689E,Maspalomas (Las Palmas),Las Palmas,NA,21.8,NA,NA,NA,NA,15 mar.,NA,NA
2024-03-15,C649I,Gran Canaria Aeropuerto (Las Palmas),Las Palmas,23.3,21.5,1.8,23.3,21.5,"+1,8",15 mar.,▲,#cb181d
2024-03-16,C029O,Lanzarote Aeropuerto (Las Palmas),Las Palmas,24.5,22.5,2,24.5,22.5,+2,16 mar.,▲,#cb181d
2024-03-16,C229J,Pájara (Las Palmas),Las Palmas,28.6,22.6,6,28.6,22.6,+6,16 mar.,▲,#cb181d
2024-03-16,C249I,Fuerteventura Aeropuerto (Las Palmas),Las Palmas,22.2,21.5,0.7,22.2,21.5,"+0,7",16 mar.,▲,#cb181d
2024-03-16,C629X,"Mogán, Puerto (Las Palmas)",Las Palmas,26.1,23.6,2.5,26.1,23.6,"+2,5",16 mar.,▲,#cb181d
2024-03-16,C649I,Gran Canaria Aeropuerto (Las Palmas),Las Palmas,27.2,21.7,5.5,27.2,21.7,"+5,5",16 mar.,▲,#cb181d
2024-03-16,C659H,"Las Palmas de Gran Canaria, San Cristobal (Las Palmas)",Las Palmas,24.1,20.8,3.3,24.1,20.8,"+3,3",16 mar.,▲,#cb181d
2024-03-16,C659M,"Las Palmas de Gran Canaria, Pl. de la Feria (Las Palmas)",Las Palmas,23.5,20.9,2.6,23.5,20.9,"+2,6",16 mar.,▲,#cb181d
2024-03-16,C689E,Maspalomas (Las Palmas),Las Palmas,NA,22.1,NA,NA,NA,NA,16 mar.,NA,NA
2024-03-17,C029O,Lanzarote Aeropuerto (Las Palmas),Las Palmas,27.4,23.2,4.2,27.4,23.2,"+4,2",17 mar.,▲,#cb181d
2024-03-17,C229J,Pájara (Las Palmas),Las Palmas,30.4,21.6,8.8,30.4,21.6,"+8,8",17 mar.,▲,#cb181d
2024-03-17,C249I,Fuerteventura Aeropuerto (Las Palmas),Las Palmas,28.3,22.6,5.7,28.3,22.6,"+5,7",17 mar.,▲,#cb181d
2024-03-17,C629X,"Mogán, Puerto (Las Palmas)",Las Palmas,27.2,23.1,4.1,27.2,23.1,"+4,1",17 mar.,▲,#cb181d
2024-03-17,C649I,Gran Canaria Aeropuerto (Las Palmas),Las Palmas,25.9,22,3.9,25.9,22,"+3,9",17 mar.,▲,#cb181d
2024-03-17,C659H,"Las Palmas de Gran Canaria, San Cristobal (Las Palmas)",Las Palmas,23.6,20.6,3,23.6,20.6,+3,17 mar.,▲,#cb181d
2024-03-17,C659M,"Las Palmas de Gran Canaria, Pl. de la Feria (Las Palmas)",Las Palmas,23.5,20.2,3.3,23.5,20.2,"+3,3",17 mar.,▲,#cb181d
2024-03-17,C689E,Maspalomas (Las Palmas),Las Palmas,NA,21.5,NA,NA,NA,NA,17 mar.,NA,NA
2024-03-18,C029O,Lanzarote Aeropuerto (Las Palmas),Las Palmas,26.3,23.3,3,26.3,23.3,+3,18 mar.,▲,#cb181d
2024-03-18,C229J,Pájara (Las Palmas),Las Palmas,26.3,22.9,3.4,26.3,22.9,"+3,4",18 mar.,▲,#cb181d
2024-03-18,C249I,Fuerteventura Aeropuerto (Las Palmas),Las Palmas,26.9,21.8,5.1,26.9,21.8,"+5,1",18 mar.,▲,#cb181d
2024-03-18,C629X,"Mogán, Puerto (Las Palmas)",Las Palmas,25.5,23.2,2.3,25.5,23.2,"+2,3",18 mar.,▲,#cb181d
2024-03-18,C649I,Gran Canaria Aeropuerto (Las Palmas),Las Palmas,25,21.8,3.2,25,21.8,"+3,2",18 mar.,▲,#cb181d
2024-03-18,C659H,"Las Palmas de Gran Canaria, San Cristobal (Las Palmas)",Las Palmas,21.7,20.8,0.9,21.7,20.8,"+0,9",18 mar.,▲,#cb181d
2024-03-18,C659M,"Las Palmas de Gran Canaria, Pl. de la Feria (Las Palmas)",Las Palmas,23.2,20.5,2.7,23.2,20.5,"+2,7",18 mar.,▲,#cb181d
2024-03-18,C689E,Maspalomas (Las Palmas),Las Palmas,NA,21.9,NA,NA,NA,NA,18 mar.,NA,NA
2024-03-19,C029O,Lanzarote Aeropuerto (Las Palmas),Las Palmas,20.6,23.2,-2.6,23.2,20.6,"-2,6",19 mar.,▼,#2171b5
2024-03-19,C229J,Pájara (Las Palmas),Las Palmas,21.3,22,-0.7,22,21.3,"-0,7",19 mar.,▼,#2171b5
2024-03-19,C249I,Fuerteventura Aeropuerto (Las Palmas),Las Palmas,19.8,22.4,-2.6,22.4,19.8,"-2,6",19 mar.,▼,#2171b5
2024-03-19,C629X,"Mogán, Puerto (Las Palmas)",Las Palmas,21.3,24.4,-3.1,24.4,21.3,"-3,1",19 mar.,▼,#2171b5
2024-03-19,C649I,Gran Canaria Aeropuerto (Las Palmas),Las Palmas,20.8,22.3,-1.5,22.3,20.8,"-1,5",19 mar.,▼,#2171b5
2024-03-19,C659H,"Las Palmas de Gran Canaria, San Cristobal (Las Palmas)",Las Palmas,19.6,20.5,-0.9,20.5,19.6,"-0,9",19 mar.,▼,#2171b5
2024-03-19,C659M,"Las Palmas de Gran Canaria, Pl. de la Feria (Las Palmas)",Las Palmas,20.1,20.9,-0.8,20.9,20.1,"-0,8",19 mar.,▼,#2171b5
2024-03-19,C689E,Maspalomas (Las Palmas),Las Palmas,20.5,22.9,-2.4,22.9,20.5,"-2,4",19 mar.,▼,#2171b5
2024-02-19,2630X,Puerto de San Isidro (León),León,12.9,4.3,8.6,12.9,4.3,"+8,6",19 feb.,▲,#cb181d
2024-02-19,2737E,Lagunas de Somoza (León),León,NA,8.2,NA,NA,NA,NA,19 feb.,NA,NA
2024-02-19,2661,"León, Virgen del Camino (León)",León,18,10.6,7.4,18,10.6,"+7,4",19 feb.,▲,#cb181d
2024-02-19,1549,Ponferrada (León),León,21.6,12.5,9.1,21.6,12.5,"+9,1",19 feb.,▲,#cb181d
